#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#;;;;;;;;;;;;;;
finnish_pagan_reformed;Suomenusko;Suomenusko;GERMAN;SPANISH;;;;;;;;;;x
norse_pagan_reformed;Asatru;Asatru;GERMAN;SPANISH;;;;;;;;;;x
baltic_pagan_reformed;Romuva;Romuva;GERMAN;SPANISH;;;;;;;;;;x
altaic_pagan_reformed;Tengri;Tengri;GERMAN;SPANISH;;;;;;;;;;x
slavic_pagan_reformed;Rodnovery;Rodnovery;GERMAN;SPANISH;;;;;;;;;;x
west_african_pagan_reformed;Akan;Akan;GERMAN;SPANISH;;;;;;;;;;x
finnish_pagan;Finnic;Finnic;GERMAN;SPANISH;;;;;;;;;;x
baltic_pagan;Baltic;Baltic;GERMAN;SPANISH;;;;;;;;;;x
altaic_pagan;Altaic;Altaic;GERMAN;SPANISH;;;;;;;;;;x
#;;;;;;;;;;;;;;
gaulish;Gualish;Gaulish;Gaulish;;Gaulish;;;;;;;;;x
RETTYPE_CUL_GAULISH;Gaulish Cavalry;Gaulish Cavalry;Gaulish Cavalry;;Gaulish Cavalry;;;;;;;;;x
ca_culture_gaulish_1_desc;The Celts of Gaul were renowned for there excelent cavalry tactics and were often hired on as mercenaries. They even formed the core of the Roman Empire's cavalry regiments for several hundred years. This is where the new breed of Gaulish heavy cavalry are trained.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_culture_gaulish_1;Cavalry Field;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_culture_gaulish_2;Cavalry Field;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_culture_gaulish_3;Cavalry Field;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_culture_gaulish_4;Cavalry Field;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#;;;;;;;;;;;;;;
HEAD_PRIEST_finnish_pagan_reformed;Päänpappi;Päänpappi;Päänpappi;;Päänpappi;;;;;;;;;x
HEAD_PRIESTESS_finnish_pagan_reformed;Päänpappitar;Päänpappitar;Päänpappitar;;Päänpappitar;;;;;;;;;x
HEAD_PRIEST_baltic_pagan_reformed;Kriwe;Kriwe;Kriwe;;Kriwe;;;;;;;;;x
HEAD_PRIESTESS_baltic_pagan_reformed;Kriwe Ponia;Kriwe Ponia;Kriwe Ponia;;Kriwe Ponia;;;;;;;;;x
HEAD_PRIEST_slavic_pagan_reformed;Hlava Knez;Hlava Knez;Hlava Knez;;Hlava Knez;;;;;;;;;x
HEAD_PRIESTESS_slavic_pagan_reformed;Hlava Knazka;Hlava Knazka;Hlava Knazka;;Hlava Knazka;;;;;;;;;x
HEAD_PRIEST_african_pagan_reformed;Kungo Hogon;Kungo Hogon;Kungo Hogon;;Kungo Hogon;;;;;;;;;x
HEAD_PRIESTESS_african_pagan_reformed;Musoo Hogon;Musoo Hogon;Musoo Hogon;;Musoo Hogon;;;;;;;;;x
HEAD_PRIEST_aztec_reformed;Quetzalcoatl;Quetzalcoatl;Quetzalcoatl;;Quetzalcoatl;;;;;;;;;x
HEAD_PRIESTESS_aztec_reformed;Quetzalcoatl;Quetzalcoatl;Quetzalcoatl;;Quetzalcoatl;;;;;;;;;x
#;;;;;;;;;;;;;;
EVTDESCancrel.9999;For quite some time now you have watched the steady decline of [Root.Religion.GetName]. No longer can you sit idly by while your people suffer at the hands of zealots and madmen of [Root.Religion.GetName]. From now on you will lead your people back to the teachings of your forefathers!;For quite some time now you have watched the steady decline of [Root.Religion.GetName]. No longer can you sit idly by while your people suffer at the hands of zealots and madmen of[Root.Religion.GetName]. From now on you will lead your people back to the teachings of your forefathers!;For quite some time now you have watched the steady decline of [Root.Religion.GetName]. No longer can you sit idly by while your people suffer at the hands of zealots and madmen of[Root.Religion.GetName]. From now on you will lead your people back to the teachings of your forefathers!;;For quite some time now you have watched the steady decline of [Root.Religion.GetName]. No longer can you sit idly by while your people suffer at the hands of zealots and madmen of [Root.Religion.GetName]. From now on you will lead your people back to the teachings of your forefathers!;;;;;;;;;
EVTNAMEancrel.9999;Adopting the Old Ways;Adopting the Old Ways;Adopting the Old Ways;;Adopting the Old Ways;;;;;;;;;
EVTOPTAancrel.9999;Zoroaster will lead us to enlightenment!;Zoroaster will lead us to enlightenment!;Zoroaster will lead us to enlightenment!;;Zoroaster will lead us to enlightenment!;;;;;;;;;
EVTOPTBancrel.9999;It's time to visit the elder druids;It's time to visit the elder druids;It's time to visit the elder druids;;It's time to visit the elder druids;;;;;;;;;
EVTOPTCancrel.9999;To the gods of old!;To the gods of old!;To the gods of old!;;To the gods of old!;;;;;;;;;
EVTOPTDancrel.9999;Valhalla awaits!;Valhalla awaits!;Valhalla awaits!;;Valhalla awaits!;;;;;;;;;
EVTOPTEancrel.9999;To the gods of old!;To the gods of old!;To the gods of old!;;To the gods of old!;;;;;;;;;
EVTOPTFancrel.9999;To the gods of old!;To the gods of old!;To the gods of old!;;To the gods of old!;;;;;;;;;
EVTOPTGancrel.9999;To the gods of old!;To the gods of old!;To the gods of old!;;To the gods of old!;;;;;;;;;
EVTOPTHancrel.9999;To the gods of old!;To the gods of old!;To the gods of old!;;To the gods of old!;;;;;;;;;
EVTOPTIancrel.9999;To the gods of old!;To the gods of old!;To the gods of old!;;To the gods of old!;;;;;;;;;
EVTOPTJancrel.9999;To the gods of old!;To the gods of old!;To the gods of old!;;To the gods of old!;;;;;;;;;
EVTOPTKancrel.9999;To the gods of old!;To the gods of old!;To the gods of old!;;To the gods of old!;;;;;;;;;
EVTOPTLancrel.9999;God will not lead us astray;God will not lead us astray;God will not lead us astray;;God will not lead us astray;;;;;;;;;
EVTOPTMancrel.9999;Let us look to the pantheon for guidance;Let us look to the pantheon for guidance;Let us look to the pantheon for guidance;;Let us look to the pantheon for guidance;;;;;;;;;
EVTOPTZancrel.9999;Maybe give them one more chance...;Maybe give them one more chance...;Maybe give them one more chance...;;Maybe give them one more chance...;;;;;;;;;
gone_pagan;Adopt Native Religion;Adopt Native Religion;Adopt Native Religion;;Adopt Native Religion;;;;;;;;;x;;
gone_pagan_ctt;One of the following must be true:\n- The §YMoral Authority§! of your religion must be below §R20§!\n- There must be a pagan province in your demesne that is relevant to your culture, in addition to the §YMoral Authority§! of your religion being below §R30§!\n- You must be a lunatic and the §YMoral Authority§! of you religion must be below §R50§!;;;;;;;;;;;;;;;
gone_pagan_desc;Adopt your culture's native religion.;Adopt your culture's native religion.;Adopt your culture's native religion.;;Adopt your culture's native religion.;;;;;;;;;x;;
#;;;;;;;;;;;;;;
