#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
;;;;;;;;;;;;;;
finnish_pagan_reformed;Suomenusko;Suomenusko;GERMAN;SPANISH;;;;;;;;;;x
norse_pagan_reformed;Asatru;Asatru;GERMAN;SPANISH;;;;;;;;;;x
baltic_pagan_reformed;Romuva;Romuva;GERMAN;SPANISH;;;;;;;;;;x
altaic_pagan_reformed;Tengri;Tengri;GERMAN;SPANISH;;;;;;;;;;x
slavic_pagan_reformed;Rodnovery;Rodnovery;GERMAN;SPANISH;;;;;;;;;;x
west_african_pagan_reformed;Akan;Akan;GERMAN;SPANISH;;;;;;;;;;x
finnish_pagan;Finnic;Finnic;GERMAN;SPANISH;;;;;;;;;;x
baltic_pagan;Baltic;Baltic;GERMAN;SPANISH;;;;;;;;;;x
altaic_pagan;Altaic;Altaic;GERMAN;SPANISH;;;;;;;;;;x
;;;;;;;;;;;;;;
HEAD_PRIEST_finnish_pagan_reformed;Päänpappi;Päänpappi;Päänpappi;;Päänpappi;;;;;;;;;x
HEAD_PRIESTESS_finnish_pagan_reformed;Päänpappitar;Päänpappitar;Päänpappitar;;Päänpappitar;;;;;;;;;x
HEAD_PRIEST_baltic_pagan_reformed;Kriwe;Kriwe;Kriwe;;Kriwe;;;;;;;;;x
HEAD_PRIESTESS_baltic_pagan_reformed;Kriwe Ponia;Kriwe Ponia;Kriwe Ponia;;Kriwe Ponia;;;;;;;;;x
HEAD_PRIEST_slavic_pagan_reformed;Hlava Knez;Hlava Knez;Hlava Knez;;Hlava Knez;;;;;;;;;x
HEAD_PRIESTESS_slavic_pagan_reformed;Hlava Knazka;Hlava Knazka;Hlava Knazka;;Hlava Knazka;;;;;;;;;x
HEAD_PRIEST_african_pagan_reformed;Kungo Hogon;Kungo Hogon;Kungo Hogon;;Kungo Hogon;;;;;;;;;x
HEAD_PRIESTESS_african_pagan_reformed;Musoo Hogon;Musoo Hogon;Musoo Hogon;;Musoo Hogon;;;;;;;;;x
HEAD_PRIEST_aztec_pagan_reformed;Quetzalcoatl;Quetzalcoatl;Quetzalcoatl;;Quetzalcoatl;;;;;;;;;x
HEAD_PRIESTESS_aztec_pagan_reformed;Quetzalcoatl;Quetzalcoatl;Quetzalcoatl;;Quetzalcoatl;;;;;;;;;x
